product_0,product_1,reactant_0,reactant_1,reaction
N=c1onno1,[NH2],[N]=c1onno1,N,rxn_3118
N=c1onno1,[OH],[N]=c1onno1,O,rxn_3120
N=c1onno1,[CH]=O,[N]=c1onno1,C=O,rxn_3126
N=c1onno1,C[O],[N]=c1onno1,CO,rxn_3128
N=c1onno1,[CH2]O,[N]=c1onno1,CO,rxn_3129
N=c1onno1,C#C[CH2],[N]=c1onno1,C#CC,rxn_3132
N=c1onno1,[NH]C=O,[N]=c1onno1,NC=O,rxn_3142
N=c1onno1,[C]#CC#C,[N]=c1onno1,C#CC#C,rxn_3148
N=c1onno1,C#C[C]=O,[N]=c1onno1,C#CC=O,rxn_3152
N=c1onno1,O=[C]C#N,[N]=c1onno1,O=CC#N,rxn_3156
N=c1onno1,O=[C]C=O,[N]=c1onno1,O=CC=O,rxn_3158
N=c1onno1,[O]CC#N,[N]=c1onno1,OCC#N,rxn_3160
N=c1onno1,O[CH]C#N,[N]=c1onno1,OCC#N,rxn_3161
N=c1onno1,N#C[CH]C#N,[N]=c1onno1,N#CCC#N,rxn_3164
N=c1onno1,O1C=[C]N=N1,[N]=c1onno1,c1cnno1,rxn_3166
N=c1onno1,[C]1=NOC=N1,[N]=c1onno1,c1ncno1,rxn_3170
N=c1onno1,C1=NO[C]=N1,[N]=c1onno1,c1ncno1,rxn_3171
N=c1onno1,O1C=NN=[C]1,[N]=c1onno1,o1cnnc1,rxn_3174
N=c1onno1,N1=C[C]=NO1,[N]=c1onno1,c1cnon1,rxn_3178
N=c1onno1,O1N=N[C]=N1,[N]=c1onno1,n1ncno1,rxn_3180
N=c1onno1,O=C(C#N)[C]=O,[N]=c1onno1,O=C(C#N)C=O,rxn_3184
N=c1onno1,[C]#CC#CC#N,[N]=c1onno1,C#CC#CC#N,rxn_3186
N=c1onno1,O=C1ON=[C]O1,[N]=c1onno1,O=c1onco1,rxn_3193
N=c1onno1,[C]#CC(F)(F)F,[N]=c1onno1,C#CC(F)(F)F,rxn_3197
N=c1onno1,O=[C]C(F)(F)F,[N]=c1onno1,O=CC(F)(F)F,rxn_3199
N=c1onno1,O=[C]C(Cl)(Cl)Cl,[N]=c1onno1,O=CC(Cl)(Cl)Cl,rxn_3201
N=c1onno1,O=[C]C(Br)(Br)Br,[N]=c1onno1,O=CC(Br)(Br)Br,rxn_3203
NCC#N,[CH3],[NH]CC#N,C,rxn_3205
NCC#N,[NH2],[NH]CC#N,N,rxn_3206
NCC#N,[OH],[NH]CC#N,O,rxn_3207
NCC#N,[C]#C,[NH]CC#N,C#C,rxn_3208
NCC#N,[CH]=O,[NH]CC#N,C=O,rxn_3210
NCC#N,C[O],[NH]CC#N,CO,rxn_3211
NCC#N,[CH2]O,[NH]CC#N,CO,rxn_3212
NCC#N,C#C[CH2],[NH]CC#N,C#CC,rxn_3213
NCC#N,[CH2]C#N,[NH]CC#N,CC#N,rxn_3215
NCC#N,[CH2]C=O,[NH]CC#N,CC=O,rxn_3216
NCC#N,C[C]=O,[NH]CC#N,CC=O,rxn_3217
NCC#N,[NH]C=O,[NH]CC#N,NC=O,rxn_3218
NCC#N,N[C]=O,[NH]CC#N,NC=O,rxn_3219
NCC#N,[CH]1CO1,[NH]CC#N,C1CO1,rxn_3220
NCC#N,[C]#CC#C,[NH]CC#N,C#CC#C,rxn_3221
NCC#N,[C]#CC#N,[NH]CC#N,C#CC#N,rxn_3222
NCC#N,C#C[C]=O,[NH]CC#N,C#CC=O,rxn_3223
NCC#N,[C]#CC=O,[NH]CC#N,C#CC=O,rxn_3224
NCC#N,O=[C]C=O,[NH]CC#N,O=CC=O,rxn_3226
NCC#N,[O]CC#N,[NH]CC#N,OCC#N,rxn_3227
NCC#N,O[CH]C#N,[NH]CC#N,OCC#N,rxn_3228
NCC#N,N#C[CH]C#N,[NH]CC#N,N#CCC#N,rxn_3229
NCC#N,O1C=[C]N=N1,[NH]CC#N,c1cnno1,rxn_3230
NCC#N,[C]1=NOC=N1,[NH]CC#N,c1ncno1,rxn_3232
NCC#N,C1=NO[C]=N1,[NH]CC#N,c1ncno1,rxn_3233
NCC#N,O1C=NN=[C]1,[NH]CC#N,o1cnnc1,rxn_3234
NCC#N,N1=C[C]=NO1,[NH]CC#N,c1cnon1,rxn_3236
NCC#N,O1N=N[C]=N1,[NH]CC#N,n1ncno1,rxn_3237
NCC#N,[C]#CC(=O)C#N,[NH]CC#N,C#CC(=O)C#N,rxn_3238
NCC#N,O=C(C#N)[C]=O,[NH]CC#N,O=C(C#N)C=O,rxn_3239
NCC#N,[C]#CC#CC#N,[NH]CC#N,C#CC#CC#N,rxn_3240
NCC#N,[N]=c1onno1,[NH]CC#N,N=c1onno1,rxn_3242
NCC#N,O=C1[N]N=NO1,[NH]CC#N,O=c1onn[nH]1,rxn_3243
NCC#N,O=C1ON=[C]O1,[NH]CC#N,O=c1onco1,rxn_3244
NCC#N,[C]#CC(F)(F)F,[NH]CC#N,C#CC(F)(F)F,rxn_3246
NCC#N,O=[C]C(F)(F)F,[NH]CC#N,O=CC(F)(F)F,rxn_3247
NCC#N,O=[C]C(Cl)(Cl)Cl,[NH]CC#N,O=CC(Cl)(Cl)Cl,rxn_3248
NCC#N,O=[C]C(Br)(Br)Br,[NH]CC#N,O=CC(Br)(Br)Br,rxn_3249
Oc1nonn1,O=[C]C#N,[O]c1nonn1,O=CC#N,rxn_3330
