rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
[N]N+CC[NH]<=>[NH]N+CC[N],[N]N,CC[NH],[NH]N,CC[N],[N]N+CC[NH],[NH]N+CC[N],True,True,True,True,rmg_rxn_2
[CH]CC+CC#CC<=>[CH2]CC+[CH2]C#CC,[CH]CC,CC#CC,[CH2]CC,[CH2]C#CC,[CH]CC+CC#CC,[CH2]CC+[CH2]C#CC,True,True,True,True,rmg_rxn_3
CC[NH]+[CH]CC<=>CC[N]+[CH2]CC,CC[NH],[CH]CC,CC[N],[CH2]CC,CC[NH]+[CH]CC,CC[N]+[CH2]CC,True,True,True,True,rmg_rxn_4
[NH]N+[CH]CC<=>[N]N+[CH2]CC,[NH]N,[CH]CC,[N]N,[CH2]CC,[NH]N+[CH]CC,[N]N+[CH2]CC,True,True,True,True,rmg_rxn_5
CCN=O+[CH]CC<=>CC=N[O]+[CH2]CC,CCN=O,[CH]CC,CC=N[O],[CH2]CC,CCN=O+[CH]CC,CC=N[O]+[CH2]CC,True,True,True,True,rmg_rxn_6
[N]N+CCN=O<=>[NH]N+CC=N[O],[N]N,CCN=O,[NH]N,CC=N[O],[N]N+CCN=O,[NH]N+CC=N[O],True,True,True,True,rmg_rxn_7
CC[N]+CCN=O<=>CC=N[O]+CC[NH],CC[N],CCN=O,CC=N[O],CC[NH],CC[N]+CCN=O,CC=N[O]+CC[NH],True,True,True,True,rmg_rxn_8
CC[S]+CCN=O<=>CC=N[O]+CCS,CC[S],CCN=O,CC=N[O],CCS,CC[S]+CCN=O,CC=N[O]+CCS,True,True,True,True,rmg_rxn_10
CC[S]+CC[NH]<=>CC[N]+CCS,CC[S],CC[NH],CC[N],CCS,CC[S]+CC[NH],CC[N]+CCS,True,True,True,True,rmg_rxn_12
[N]N+CCS<=>[NH]N+CC[S],[N]N,CCS,[NH]N,CC[S],[N]N+CCS,[NH]N+CC[S],True,True,True,True,rmg_rxn_13
CCS+[CH]CC<=>CC[S]+[CH2]CC,CCS,[CH]CC,CC[S],[CH2]CC,CCS+[CH]CC,CC[S]+[CH2]CC,True,True,True,True,rmg_rxn_14
[CH]CC+CCSCC<=>[CH2]CC+[CH2]CSCC,[CH]CC,CCSCC,[CH2]CC,[CH2]CSCC,[CH]CC+CCSCC,[CH2]CC+[CH2]CSCC,True,True,True,True,rmg_rxn_15
[NH]N+[CH2]CSCC<=>[N]N+CCSCC,[NH]N,[CH2]CSCC,[N]N,CCSCC,[NH]N+[CH2]CSCC,[N]N+CCSCC,True,True,True,True,rmg_rxn_16
CC[NH]+[CH2]CSCC<=>CC[N]+CCSCC,CC[NH],[CH2]CSCC,CC[N],CCSCC,CC[NH]+[CH2]CSCC,CC[N]+CCSCC,True,True,True,True,rmg_rxn_17
CCS+[CH2]CSCC<=>CC[S]+CCSCC,CCS,[CH2]CSCC,CC[S],CCSCC,CCS+[CH2]CSCC,CC[S]+CCSCC,True,True,True,True,rmg_rxn_19
CCN=O+[CH2]CSCC<=>CC=N[O]+CCSCC,CCN=O,[CH2]CSCC,CC=N[O],CCSCC,CCN=O+[CH2]CSCC,CC=N[O]+CCSCC,True,True,True,True,rmg_rxn_20
[CH]CC+CCCC<=>[CH2]CC+C[CH]CC,[CH]CC,CCCC,[CH2]CC,C[CH]CC,[CH]CC+CCCC,[CH2]CC+C[CH]CC,True,True,True,True,rmg_rxn_21
[NH]N+C[CH]CC<=>[N]N+CCCC,[NH]N,C[CH]CC,[N]N,CCCC,[NH]N+C[CH]CC,[N]N+CCCC,True,True,True,True,rmg_rxn_22
CC[NH]+C[CH]CC<=>CC[N]+CCCC,CC[NH],C[CH]CC,CC[N],CCCC,CC[NH]+C[CH]CC,CC[N]+CCCC,True,True,True,True,rmg_rxn_23
CC#CC+C[CH]CC<=>[CH2]C#CC+CCCC,CC#CC,C[CH]CC,[CH2]C#CC,CCCC,CC#CC+C[CH]CC,[CH2]C#CC+CCCC,True,True,True,True,rmg_rxn_24
CCS+C[CH]CC<=>CC[S]+CCCC,CCS,C[CH]CC,CC[S],CCCC,CCS+C[CH]CC,CC[S]+CCCC,True,True,True,True,rmg_rxn_25
CCN=O+C[CH]CC<=>CC=N[O]+CCCC,CCN=O,C[CH]CC,CC=N[O],CCCC,CCN=O+C[CH]CC,CC=N[O]+CCCC,True,True,True,True,rmg_rxn_26
[CH2]CSCC+CCCC<=>C[CH]CC+CCSCC,[CH2]CSCC,CCCC,C[CH]CC,CCSCC,[CH2]CSCC+CCCC,C[CH]CC+CCSCC,True,True,True,True,rmg_rxn_27
[CH]CC+CCCC<=>[CH2]CC+[CH2]CCC,[CH]CC,CCCC,[CH2]CC,[CH2]CCC,[CH]CC+CCCC,[CH2]CC+[CH2]CCC,True,True,True,True,rmg_rxn_28
[NH]N+[CH2]CCC<=>[N]N+CCCC,[NH]N,[CH2]CCC,[N]N,CCCC,[NH]N+[CH2]CCC,[N]N+CCCC,True,True,True,True,rmg_rxn_29
CC[NH]+[CH2]CCC<=>CC[N]+CCCC,CC[NH],[CH2]CCC,CC[N],CCCC,CC[NH]+[CH2]CCC,CC[N]+CCCC,True,True,True,True,rmg_rxn_30
CC#CC+[CH2]CCC<=>[CH2]C#CC+CCCC,CC#CC,[CH2]CCC,[CH2]C#CC,CCCC,CC#CC+[CH2]CCC,[CH2]C#CC+CCCC,True,True,True,True,rmg_rxn_31
CCS+[CH2]CCC<=>CC[S]+CCCC,CCS,[CH2]CCC,CC[S],CCCC,CCS+[CH2]CCC,CC[S]+CCCC,True,True,True,True,rmg_rxn_32
CCN=O+[CH2]CCC<=>CC=N[O]+CCCC,CCN=O,[CH2]CCC,CC=N[O],CCCC,CCN=O+[CH2]CCC,CC=N[O]+CCCC,True,True,True,True,rmg_rxn_33
[CH2]CSCC+CCCC<=>[CH2]CCC+CCSCC,[CH2]CSCC,CCCC,[CH2]CCC,CCSCC,[CH2]CSCC+CCCC,[CH2]CCC+CCSCC,True,True,True,True,rmg_rxn_34
[CH2]CCC+CCCC<=>C[CH]CC+CCCC,[CH2]CCC,CCCC,C[CH]CC,CCCC,[CH2]CCC+CCCC,C[CH]CC+CCCC,True,True,True,True,rmg_rxn_35
[CH]CC+C1COCOC1<=>[CH2]CC+[CH]1OCCCO1,[CH]CC,C1COCOC1,[CH2]CC,[CH]1OCCCO1,[CH]CC+C1COCOC1,[CH2]CC+[CH]1OCCCO1,True,True,True,True,rmg_rxn_36
[NH]N+[CH]1OCCCO1<=>[N]N+C1COCOC1,[NH]N,[CH]1OCCCO1,[N]N,C1COCOC1,[NH]N+[CH]1OCCCO1,[N]N+C1COCOC1,True,True,True,True,rmg_rxn_37
CC[NH]+[CH]1OCCCO1<=>CC[N]+C1COCOC1,CC[NH],[CH]1OCCCO1,CC[N],C1COCOC1,CC[NH]+[CH]1OCCCO1,CC[N]+C1COCOC1,True,True,True,True,rmg_rxn_38
CC#CC+[CH]1OCCCO1<=>[CH2]C#CC+C1COCOC1,CC#CC,[CH]1OCCCO1,[CH2]C#CC,C1COCOC1,CC#CC+[CH]1OCCCO1,[CH2]C#CC+C1COCOC1,True,True,True,True,rmg_rxn_39
CCS+[CH]1OCCCO1<=>CC[S]+C1COCOC1,CCS,[CH]1OCCCO1,CC[S],C1COCOC1,CCS+[CH]1OCCCO1,CC[S]+C1COCOC1,True,True,True,True,rmg_rxn_40
CCN=O+[CH]1OCCCO1<=>CC=N[O]+C1COCOC1,CCN=O,[CH]1OCCCO1,CC=N[O],C1COCOC1,CCN=O+[CH]1OCCCO1,CC=N[O]+C1COCOC1,True,True,True,True,rmg_rxn_41
C1COCOC1+[CH2]CSCC<=>[CH]1OCCCO1+CCSCC,C1COCOC1,[CH2]CSCC,[CH]1OCCCO1,CCSCC,C1COCOC1+[CH2]CSCC,[CH]1OCCCO1+CCSCC,True,True,True,True,rmg_rxn_42
C1COCOC1+C[CH]CC<=>[CH]1OCCCO1+CCCC,C1COCOC1,C[CH]CC,[CH]1OCCCO1,CCCC,C1COCOC1+C[CH]CC,[CH]1OCCCO1+CCCC,True,True,True,True,rmg_rxn_43
C1COCOC1+[CH2]CCC<=>[CH]1OCCCO1+CCCC,C1COCOC1,[CH2]CCC,[CH]1OCCCO1,CCCC,C1COCOC1+[CH2]CCC,[CH]1OCCCO1+CCCC,True,True,True,True,rmg_rxn_44
CC=NO+C[CH]CC<=>CC=N[O]+CCCC,CC=NO,C[CH]CC,CC=N[O],CCCC,CC=NO+C[CH]CC,CC=N[O]+CCCC,True,True,True,True,rmg_rxn_45
CC=NO+[CH2]CCC<=>CC=N[O]+CCCC,CC=NO,[CH2]CCC,CC=N[O],CCCC,CC=NO+[CH2]CCC,CC=N[O]+CCCC,True,True,True,True,rmg_rxn_46
CC=NO+[CH]1OCCCO1<=>CC=N[O]+C1COCOC1,CC=NO,[CH]1OCCCO1,CC=N[O],C1COCOC1,CC=NO+[CH]1OCCCO1,CC=N[O]+C1COCOC1,True,True,True,True,rmg_rxn_47
CC=NO+[CH2]CSCC<=>CC=N[O]+CCSCC,CC=NO,[CH2]CSCC,CC=N[O],CCSCC,CC=NO+[CH2]CSCC,CC=N[O]+CCSCC,True,True,True,True,rmg_rxn_48
CC=N[O]+CCN=O<=>CC=N[O]+CC=NO,CC=N[O],CCN=O,CC=N[O],CC=NO,CC=N[O]+CCN=O,CC=N[O]+CC=NO,True,True,True,True,rmg_rxn_49
CC=N[O]+CC#CC<=>CC=NO+[CH2]C#CC,CC=N[O],CC#CC,CC=NO,[CH2]C#CC,CC=N[O]+CC#CC,CC=NO+[CH2]C#CC,True,True,True,True,rmg_rxn_50
CC[N]+CC=NO<=>CC=N[O]+CC[NH],CC[N],CC=NO,CC=N[O],CC[NH],CC[N]+CC=NO,CC=N[O]+CC[NH],True,True,True,True,rmg_rxn_51
[N]N+CC=NO<=>[NH]N+CC=N[O],[N]N,CC=NO,[NH]N,CC=N[O],[N]N+CC=NO,[NH]N+CC=N[O],True,True,True,True,rmg_rxn_52
CC=NO+[CH]CC<=>CC=N[O]+[CH2]CC,CC=NO,[CH]CC,CC=N[O],[CH2]CC,CC=NO+[CH]CC,CC=N[O]+[CH2]CC,True,True,True,True,rmg_rxn_53
CC[S]+CC=NO<=>CC=N[O]+CCS,CC[S],CC=NO,CC=N[O],CCS,CC[S]+CC=NO,CC=N[O]+CCS,True,True,True,True,rmg_rxn_54
