reaction,reactant_0,reactant_1,product_0,product_1
rxn_1,OO,C[CH]CCO,[O]O,CCCCO
rxn_3,OO,CCC[CH]O,[O]O,CCCCO
rxn_5,OO,C[CH]C(C)O,[O]O,CCC(C)O
rxn_6,OO,CC[C](C)O,[O]O,CCC(C)O
rxn_8,OO,[CH2]C(C)(C)O,[O]O,CC(C)(C)O
rxn_9,C=O,[CH2]C(=C)C,[CH]=O,C=C(C)C
rxn_10,CCC,C[C](C)CO,C[CH]C,CC(C)CO
rxn_13,C=C(C)C,C[C](C)CO,[CH2]C(=C)C,CC(C)CO
rxn_14,C=C(C)C,CC(C)[CH]O,[CH2]C(=C)C,CC(C)CO
rxn_15,C=C(C)C,CC(C)C[O],[CH2]C(=C)C,CC(C)CO
rxn_16,C=CC,[CH2]C(C)CO,[CH2]C=C,CC(C)CO
rxn_18,C=CC,CC(C)[CH]O,[CH2]C=C,CC(C)CO
rxn_30,CC(C)C=O,[H],C[C](C)C=O,[H][H]
rxn_31,C=C(C)C,CC=C[O],[CH2]C(=C)C,CC=CO
rxn_32,CC=CC,[O]O,[CH2]C=CC,OO
rxn_33,OO,C[C]=CC,[O]O,CC=CC
rxn_34,C=CCC,[O]O,C=C[CH]C,OO
rxn_35,OO,[CH]=CCC,[O]O,C=CCC
rxn_36,OO,CCC=C[O],[O]O,CCC=CO
rxn_37,OO,CO[O],[O]O,COO
rxn_38,C=CCC,CO[O],C=C[CH]C,COO
rxn_39,OO,[CH2]C=C,[O]O,C=CC
rxn_41,CC(C)CO,C[CH]C,C[C](C)CO,CCC
rxn_42,CC(C)=O,[OH],[CH2]C(C)=O,O
rxn_43,CCC(C)=O,[OH],[CH2]C(=O)CC,O
rxn_44,CCC(C)=O,[OH],C[CH]C(C)=O,O
rxn_45,CCC(C)=O,[OH],[CH2]CC(C)=O,O
rxn_46,CC(=O)C(C)C,[OH],[CH2]C(=O)C(C)C,O
rxn_47,CC(=O)C(C)C,[OH],C[C](C)C(C)=O,O
rxn_48,CC(=O)C(C)C,[OH],[CH2]C(C)C(C)=O,O
rxn_49,CCCCO,[OH],O,CCC[CH]O
rxn_50,C,[SH],[CH3],S
rxn_51,CC,[SH],C[CH2],S
rxn_52,CCC,[SH],[CH2]CC,S
rxn_53,CCC,[SH],C[CH]C,S
rxn_54,CCCC,[SH],C[CH]CC,S
rxn_55,C=C,[SH],[CH]=C,S
rxn_56,C=CC,[SH],[CH2]C=C,S
rxn_57,C=CCC,[SH],C=C[CH]C,S
rxn_58,C=CCC,[SH],C=[C]CC,S
rxn_59,C=C=C,[SH],[CH]=C=C,S
rxn_60,C#CCC,[SH],C#C[CH]C,S
rxn_61,[O],[N]=C=N,[OH],[N]=C=[N]
rxn_62,[O][O],[N]=C=N,[O]O,[N]=C=[N]
rxn_63,[N],[H][H],[NH],[H]
rxn_65,[N]=C=N,[OH],O,[N]=C=[N]
rxn_67,[NH2],[H][H],N,[H]
rxn_68,[NH2],C,N,[CH3]
rxn_69,[NH2],O,N,[OH]
rxn_70,S,[H],[SH],[H][H]
rxn_72,[H][H],[S],[SH],[H]
rxn_73,C,[S],[SH],[CH3]
rxn_74,CC,[S],[SH],C[CH2]
rxn_77,SS,[H],[S]S,[H][H]
rxn_78,SS,[SH],S,[S]S
rxn_80,ON=O,[H],[H][H],[O]N=O
rxn_87,C#N,[H],[C]#N,[H][H]
