product_0,product_1,reactant_0,reactant_1,reaction
N=c1onno1,[CH3],[N]=c1onno1,C,rxn_3116
[N-]=c1o[nH+]no1,[CH3],[N-]=C1O[N+]=NO1,C,rxn_3117
N=c1onno1,[NH2],[N]=c1onno1,N,rxn_3118
[N-]=c1o[nH+]no1,[NH2],[N-]=C1O[N+]=NO1,N,rxn_3119
N=c1onno1,[OH],[N]=c1onno1,O,rxn_3120
[N-]=c1o[nH+]no1,[OH],[N-]=C1O[N+]=NO1,O,rxn_3121
N=c1onno1,[C]#C,[N]=c1onno1,C#C,rxn_3122
[N-]=c1o[nH+]no1,[C]#C,[N-]=C1O[N+]=NO1,C#C,rxn_3123
N=c1onno1,[C]#N,[N]=c1onno1,C#N,rxn_3124
[N-]=c1o[nH+]no1,[C]#N,[N-]=C1O[N+]=NO1,C#N,rxn_3125
N=c1onno1,[CH]=O,[N]=c1onno1,C=O,rxn_3126
[N-]=c1o[nH+]no1,[CH]=O,[N-]=C1O[N+]=NO1,C=O,rxn_3127
N=c1onno1,C[O],[N]=c1onno1,CO,rxn_3128
N=c1onno1,[CH2]O,[N]=c1onno1,CO,rxn_3129
[N-]=c1o[nH+]no1,C[O],[N-]=C1O[N+]=NO1,CO,rxn_3130
[N-]=c1o[nH+]no1,[CH2]O,[N-]=C1O[N+]=NO1,CO,rxn_3131
N=c1onno1,C#C[CH2],[N]=c1onno1,C#CC,rxn_3132
N=c1onno1,[C]#CC,[N]=c1onno1,C#CC,rxn_3133
[N-]=c1o[nH+]no1,C#C[CH2],[N-]=C1O[N+]=NO1,C#CC,rxn_3134
[N-]=c1o[nH+]no1,[C]#CC,[N-]=C1O[N+]=NO1,C#CC,rxn_3135
N=c1onno1,[CH2]C#N,[N]=c1onno1,CC#N,rxn_3136
[N-]=c1o[nH+]no1,[CH2]C#N,[N-]=C1O[N+]=NO1,CC#N,rxn_3137
N=c1onno1,[CH2]C=O,[N]=c1onno1,CC=O,rxn_3138
N=c1onno1,C[C]=O,[N]=c1onno1,CC=O,rxn_3139
[N-]=c1o[nH+]no1,[CH2]C=O,[N-]=C1O[N+]=NO1,CC=O,rxn_3140
[N-]=c1o[nH+]no1,C[C]=O,[N-]=C1O[N+]=NO1,CC=O,rxn_3141
N=c1onno1,[NH]C=O,[N]=c1onno1,NC=O,rxn_3142
N=c1onno1,N[C]=O,[N]=c1onno1,NC=O,rxn_3143
[N-]=c1o[nH+]no1,[NH]C=O,[N-]=C1O[N+]=NO1,NC=O,rxn_3144
[N-]=c1o[nH+]no1,N[C]=O,[N-]=C1O[N+]=NO1,NC=O,rxn_3145
N=c1onno1,[CH]1CO1,[N]=c1onno1,C1CO1,rxn_3146
[N-]=c1o[nH+]no1,[CH]1CO1,[N-]=C1O[N+]=NO1,C1CO1,rxn_3147
N=c1onno1,[C]#CC#C,[N]=c1onno1,C#CC#C,rxn_3148
[N-]=c1o[nH+]no1,[C]#CC#C,[N-]=C1O[N+]=NO1,C#CC#C,rxn_3149
