reaction,reactant_0,reactant_1,product_0,product_1
reaction_0,OO,[CH2]CCCO,[O]O,CCCCO
reaction_1,OO,C[CH]CCO,[O]O,CCCCO
reaction_2,OO,CC[CH]CO,[O]O,CCCCO
reaction_3,OO,CCC[CH]O,[O]O,CCCCO
reaction_4,OO,[CH2]CC(C)O,[O]O,CCC(C)O
reaction_5,OO,C[CH]C(C)O,[O]O,CCC(C)O
reaction_6,OO,CC[C](C)O,[O]O,CCC(C)O
reaction_7,OO,[CH2]C(O)CC,[O]O,CCC(C)O
reaction_8,OO,[CH2]C(C)(C)O,[O]O,CC(C)(C)O
reaction_9,C=O,[CH2]C(=C)C,[CH]=O,C=C(C)C
reaction_10,CCC,C[C](C)CO,C[CH]C,CC(C)CO
reaction_11,CC(C)CO,C[CH]C,CC(C)[CH]O,CCC
reaction_12,C=C(C)C,[CH2]C(C)CO,[CH2]C(=C)C,CC(C)CO
reaction_13,C=C(C)C,C[C](C)CO,[CH2]C(=C)C,CC(C)CO
reaction_14,C=C(C)C,CC(C)[CH]O,[CH2]C(=C)C,CC(C)CO
reaction_15,C=C(C)C,CC(C)C[O],[CH2]C(=C)C,CC(C)CO
reaction_16,C=CC,[CH2]C(C)CO,[CH2]C=C,CC(C)CO
reaction_17,C=CC,C[C](C)CO,[CH2]C=C,CC(C)CO
reaction_18,C=CC,CC(C)[CH]O,[CH2]C=C,CC(C)CO
reaction_19,C=CC,CC(C)C[O],[CH2]C=C,CC(C)CO
reaction_20,CC,[CH2]C(C)CO,C[CH2],CC(C)CO
reaction_21,CC(C)CO,C[CH2],C[C](C)CO,CC
reaction_22,CC(C)CO,C[CH2],CC(C)[CH]O,CC
reaction_23,CC,CC(C)C[O],C[CH2],CC(C)CO
reaction_24,CC(C)CO,[CH]=C,C[C](C)CO,C=C
reaction_25,CC(C)CO,C=[C]C,[CH2]C(C)CO,C=CC
reaction_26,CC(C)CO,C=[C]C,CC(C)[CH]O,C=CC
reaction_27,CCC=O,[CH2]C(C)CO,C[CH]C=O,CC(C)CO
reaction_28,CC(C)CO,C[CH]C=O,C[C](C)CO,CCC=O
reaction_29,CC(C)CO,C[CH]C=O,CC(C)[CH]O,CCC=O
reaction_30,CC(C)C=O,[H],C[C](C)C=O,[H][H]
reaction_31,C=C(C)C,CC=C[O],[CH2]C(=C)C,CC=CO
reaction_32,CC=CC,[O]O,[CH2]C=CC,OO
reaction_33,OO,C[C]=CC,[O]O,CC=CC
reaction_34,C=CCC,[O]O,C=C[CH]C,OO
reaction_35,OO,[CH]=CCC,[O]O,C=CCC
reaction_36,OO,CCC=C[O],[O]O,CCC=CO
reaction_37,OO,CO[O],[O]O,COO
reaction_38,C=CCC,CO[O],C=C[CH]C,COO
reaction_39,OO,[CH2]C=C,[O]O,C=CC
reaction_40,CCCC=O,[O]O,CCC[C]=O,OO
reaction_41,CC(C)CO,C[CH]C,C[C](C)CO,CCC
reaction_42,CC(C)=O,[OH],[CH2]C(C)=O,O
reaction_43,CCC(C)=O,[OH],[CH2]C(=O)CC,O
reaction_44,CCC(C)=O,[OH],C[CH]C(C)=O,O
reaction_45,CCC(C)=O,[OH],[CH2]CC(C)=O,O
reaction_46,CC(=O)C(C)C,[OH],[CH2]C(=O)C(C)C,O
reaction_47,CC(=O)C(C)C,[OH],C[C](C)C(C)=O,O
reaction_48,CC(=O)C(C)C,[OH],[CH2]C(C)C(C)=O,O
reaction_49,CCCCO,[OH],O,CCC[CH]O
reaction_50,C,[SH],[CH3],S
reaction_51,CC,[SH],C[CH2],S
reaction_52,CCC,[SH],[CH2]CC,S
reaction_53,CCC,[SH],C[CH]C,S
reaction_54,CCCC,[SH],C[CH]CC,S
reaction_55,C=C,[SH],[CH]=C,S
reaction_56,C=CC,[SH],[CH2]C=C,S
reaction_57,C=CCC,[SH],C=C[CH]C,S
reaction_58,C=CCC,[SH],C=[C]CC,S
reaction_59,C=C=C,[SH],[CH]=C=C,S
reaction_60,C#CCC,[SH],C#C[CH]C,S
reaction_61,[O],[N]=C=N,[OH],[N]=C=[N]
reaction_62,[O][O],[N]=C=N,[O]O,[N]=C=[N]
reaction_63,[N],[H][H],[NH],[H]
reaction_64,NN,[N]=O,[NH]N,N=O
reaction_65,[N]=C=N,[OH],O,[N]=C=[N]
reaction_66,N,[N]=O,[NH2],N=O
reaction_67,[NH2],[H][H],N,[H]
reaction_68,[NH2],C,N,[CH3]
reaction_69,[NH2],O,N,[OH]
reaction_70,S,[H],[SH],[H][H]
reaction_71,S,[S],[SH],[SH]
reaction_72,[H][H],[S],[SH],[H]
reaction_73,C,[S],[SH],[CH3]
reaction_74,CC,[S],[SH],C[CH2]
reaction_75,[S],[S]S,[SH],[S][S]
reaction_76,[S]S,[S]S,SS,[S][S]
reaction_77,SS,[H],[S]S,[H][H]
reaction_78,SS,[SH],S,[S]S
reaction_79,SS,[S],[S]S,[SH]
reaction_80,ON=O,[H],[H][H],[O]N=O
reaction_81,N=O,[H],[N]=O,[H][H]
reaction_82,[O-][N+](=O)O,[H],[H][H],[O-][N+](=O)[O]
reaction_83,[CH]=O,N=O,C=O,[N]=O
reaction_84,C=O,[O]N=O,[CH]=O,ON=O
reaction_85,[O-][N+](=O)O,[OH],O,[O-][N+](=O)[O]
reaction_86,C#N,[O],[C]#N,[OH]
reaction_87,C#N,[H],[C]#N,[H][H]
reaction_88,C#N,[OH],[C]#N,O
reaction_89,CS,[H],C[S],[H][H]
reaction_90,CS,[H],[CH2]S,[H][H]
reaction_91,[NH2],CC,N,C[CH2]
reaction_92,[NH2],CCC,N,[CH2]CC
reaction_93,[NH2],CCC,N,C[CH]C
reaction_94,[NH2],CCCC,N,[CH2]CCC
reaction_95,[NH2],CCCC,N,C[CH]CC
reaction_96,[NH2],CC(C)C,N,[CH2]C(C)C
reaction_97,[NH2],CC(C)C,N,C[C](C)C
reaction_98,[NH2],CCC(C)C,N,CC[C](C)C
reaction_99,[NH2],C=CC,N,[CH]=CC
reaction_100,[NH2],C=CC,N,[CH2]C=C
reaction_101,[NH2],C=CCC,N,[CH2]CC=C
reaction_102,[NH2],CC=CC,N,[CH2]C=CC
reaction_103,[NH2],C=C(C)CC,N,C=C(C)[CH]C
reaction_104,[NH2],C=CC(C)C,N,[CH2]C(C)C=C
reaction_105,[NH2],C=CC(C)C,N,C=C[C](C)C
reaction_106,[NH2],CC=C(C)C,N,[CH2]C(C)=CC
reaction_107,[NH2],C=C,N,[CH]=C
reaction_108,[NH2],C#CCC,N,C#C[CH]C
reaction_109,[NH2],CC#CC,N,[CH2]C#CC
reaction_110,[NH2],C#CC(C)C,N,C#C[C](C)C
reaction_111,CCN,[H],[CH2]CN,[H][H]
reaction_112,CCN,[H],C[CH]N,[H][H]
reaction_113,CCN,[H],CC[NH],[H][H]
reaction_114,CCN,[CH3],[CH2]CN,C
reaction_115,CCN,[CH3],C[CH]N,C
reaction_116,CCN,[CH3],CC[NH],C
reaction_117,CCN,[NH2],[CH2]CN,N
reaction_118,CCN,[NH2],C[CH]N,N
reaction_119,CCN,[NH2],CC[NH],N
reaction_120,CCN,[OH],[CH2]CN,O
reaction_121,CCN,[OH],C[CH]N,O
reaction_122,CCN,[OH],CC[NH],O
reaction_123,NN,[H],[NH]N,[H][H]
reaction_124,NN,[CH3],[NH]N,C
reaction_125,NN,[NH2],[NH]N,N
reaction_126,CC=N,[H],[CH2]C=N,[H][H]
reaction_127,CC=N,[H],CC=[N],[H][H]
reaction_128,[NH],C,[NH2],[CH3]
reaction_129,[NH],CC,[NH2],C[CH2]
reaction_130,[NH],N=C=O,[NH2],[N]=C=O
reaction_131,[Cl],C,Cl,[CH3]
reaction_132,[Cl],CC,Cl,C[CH2]
reaction_133,[Cl],CCC,Cl,[CH2]CC
reaction_134,[Cl],CCC,Cl,C[CH]C
reaction_135,[Cl],CCCC,Cl,[CH2]CCC
reaction_136,[Cl],CCCC,Cl,C[CH]CC
reaction_137,[Cl],C=O,Cl,[CH]=O
reaction_138,[Cl],CC=O,Cl,C[C]=O
reaction_139,[Cl],CC(C)=O,Cl,[CH2]C(C)=O
reaction_140,[Cl],CO,Cl,[CH2]O
reaction_141,[Cl],CO,Cl,C[O]
reaction_142,[Cl],CCO,Cl,C[CH]O
reaction_143,[Cl],CCO,Cl,[CH2]CO
reaction_144,[Cl],O,Cl,[OH]
reaction_145,[Cl],OO,Cl,[O]O
reaction_146,[Cl],[H][H],Cl,[H]
reaction_147,[Cl],CCCCOC=O,Cl,[CH2]CCCOC=O
reaction_148,[Cl],CCCCOC=O,Cl,C[CH]CCOC=O
reaction_149,[Cl],CCCCOC=O,Cl,CC[CH]COC=O
reaction_150,[Cl],CC(C)(C)C,Cl,[CH2]C(C)(C)C
reaction_151,[Cl],C=C=C,Cl,[CH]=C=C
reaction_152,[Cl],C1CCCC1,Cl,[CH]1CCCC1
reaction_153,[Cl],C1CCC1,Cl,[CH]1CCC1
reaction_154,[Cl],C1COCCO1,Cl,[CH]1COCCO1
reaction_155,[Cl],CCCCOC(C)=O,Cl,[CH2]CCCOC(C)=O
reaction_156,[Cl],CCCCOC(C)=O,Cl,C[CH]CCOC(C)=O
reaction_157,[Cl],CCCCOC(C)=O,Cl,CC[CH]COC(C)=O
reaction_158,[Cl],CCCCOC(C)=O,Cl,CCC[CH]OC(C)=O
reaction_159,[Cl],COC,Cl,[CH2]OC
reaction_160,[Cl],C=CC,Cl,[CH2]C=C
reaction_161,[Cl],C1CCCCC1,Cl,[CH]1CCCCC1
reaction_162,[Cl],Cc1ccccc1,Cl,[CH2]c1ccccc1
reaction_163,[Cl],Cc1ccccc1,Cl,Cc1[c]cccc1
reaction_164,[Cl],Cc1ccccc1,Cl,Cc1c[c]ccc1
